eLog: order exec at 1622525821715844924 with id 57420901691424768, side -1, price 1106, traded volume 1, volume left on level 517, delta_execsend 669952
eLog: order exec at 1622525926046529104 with id 57983851644846080, side -1, price 1106.2, traded volume 1, volume left on level 901, delta_execsend 3022080
eLog: order exec at 1622526014785309024 with id 57702376668135424, side 1, price 1106.6, traded volume 1, volume left on level 4, delta_execsend 1822720
eLog: order exec at 1622526020332376360 with id 58265326621556736, side 1, price 1106.5, traded volume 1, volume left on level 84, delta_execsend 5546946048
eLog: order exec at 1622526215798402088 with id 58546801598267392, side -1, price 1106.7, traded volume 1, volume left on level 287, delta_execsend 1866240
eLog: order exec at 1622526292842701132 with id 58828276574978048, side 1, price 1106.9, traded volume 1, volume left on level 4, delta_execsend 28066479104
eLog: order exec at 1622526331991870200 with id 59109751551688704, side -1, price 1106.8, traded volume 1, volume left on level 3, delta_execsend 22241509120
eLog: order exec at 1622526371907336256 with id 59672701505110016, side -1, price 1106.8, traded volume 1, volume left on level 5, delta_execsend 15541724160
eLog: order exec at 1622526478566416540 with id 59391226528399360, side 1, price 1106.9, traded volume 1, volume left on level 82, delta_execsend 46506036480
eLog: order exec at 1622526543465009068 with id 60235651458531328, side -1, price 1106.9, traded volume 1, volume left on level 4, delta_execsend 40879349248
eLog: order exec at 1622526591266366240 with id 59954176481820672, side 1, price 1106.8, traded volume 1, volume left on level 4, delta_execsend 47568501504
eLog: order exec at 1622526600137966132 with id 60517126435241984, side 1, price 1106.7, traded volume 1, volume left on level 2, delta_execsend 8871477504
eLog: order exec at 1622526617052854212 with id 60798601411952640, side -1, price 1106.8, traded volume 1, volume left on level 16, delta_execsend 2084864
eLog: order exec at 1622526681293956016 with id 61080076388663296, side 1, price 1106.9, traded volume 1, volume left on level 294, delta_execsend 110336
